method,subset,band,mode,degree,is_degree_endpoint,ICC3_1,CI_low,CI_high
LB,ALL59,alpha,28,5,0,0.466130928660586,0.3218985693756481,0.6020260715793523
LB,ALL59,alpha,29,5,0,0.1829144017405956,0.06485628670182286,0.3040087406576407
LB,ALL59,alpha,30,5,0,0.4894993356779695,0.32593157433601344,0.6354036218480335
LB,ALL59,alpha,31,5,0,0.39768135194933646,0.25318973583334026,0.5225748678136376
LB,ALL59,alpha,32,5,0,0.2946728567894121,0.08989846885497829,0.4712760683407558
LB,ALL59,alpha,33,5,0,0.5004949397166653,0.35792559779805744,0.6278878212041741
LB,ALL59,alpha,34,5,0,0.5806285172506201,0.4352479845722359,0.7021173118915008
LB,ALL59,alpha,35,5,0,0.44382934081649966,0.34297263200285405,0.5448790298743402
LB,ALL59,alpha,36,5,1,0.35694961731922487,0.20179210266497288,0.5128657047417057
LB,ALL59,alpha,37,6,0,0.5131838256471782,0.40762093211136263,0.607674820657021
LB,ALL59,alpha,38,6,0,0.4987336193321484,0.3729800643139637,0.6071857371705666
LB,ALL59,alpha,39,6,0,0.468801008063962,0.34035899175659723,0.6069733573513615
LB,ALL59,alpha,40,6,0,0.46610898450673466,0.3257512590289028,0.5820500616060276
LB,ALL59,alpha,41,6,0,0.42641649385809777,0.244579539619476,0.5915188388980139
LB,ALL59,alpha,42,6,0,0.41663992554335527,0.28019742891201466,0.5407730417201402
LB,ALL59,alpha,43,6,0,0.47468114663844424,0.34305549545576236,0.5938587336658998
LB,ALL59,alpha,44,6,0,0.3824541466093083,0.24533023922339264,0.5123400511024551
LB,ALL59,alpha,45,6,0,0.49827357419443946,0.3525219656287607,0.6331833434807076
LB,ALL59,alpha,46,6,0,0.2944692599157445,0.1364867909151697,0.4514943495820367
LB,ALL59,alpha,47,6,0,0.5557881391915315,0.43027664222672085,0.6664260018537346
LB,ALL59,alpha,48,6,0,0.49727051720982335,0.3722824523878779,0.6057117444713144
LB,ALL59,alpha,49,6,1,0.40745023297047805,0.26226192301594564,0.5462822946537004
LB,ALL59,alpha,50,7,0,0.37060517037592927,0.2513770817714881,0.4849716121864566
LB,ALL59,alpha,51,7,0,0.35182314633383033,0.20532385687698324,0.46860513519033425
LB,ALL59,alpha,52,7,0,0.48787316412971105,0.36579961939489647,0.5923971085890697
LB,ALL59,alpha,53,7,0,0.4668837825835326,0.320375852480022,0.587975417630101
LB,ALL59,alpha,54,7,0,0.4649845141706579,0.33284245245656974,0.5868330059080964
LB,ALL59,alpha,55,7,0,0.4464600199363085,0.2255008820092708,0.6430313984098694
LB,ALL59,alpha,56,7,0,0.4737517133835734,0.2948859235882118,0.6358429725815626
LB,ALL59,alpha,57,7,0,0.47016197160967377,0.3232930165335151,0.5898062643980623
LB,ALL59,alpha,58,7,0,0.48872919928184866,0.3431983839694069,0.608108840219296
LB,ALL59,alpha,59,7,0,0.41940346595440614,0.3000673742945471,0.5266333288548061
LB,ALL59,alpha,60,7,0,0.5106026055565783,0.35219401431882075,0.6475076978641799
LB,ALL59,beta,1,0,1,0.47869144105588385,0.38026966408536306,0.5796341152786056
LB,ALL59,beta,2,1,0,0.4453866365826147,0.29960498983023903,0.5478348961053963
LB,ALL59,beta,3,1,0,0.36750601144357936,0.2148816719671999,0.5071382918870788
LB,ALL59,beta,4,1,1,0.5122080338302487,0.3801873211299241,0.6268745631075966
LB,ALL59,beta,5,2,0,0.5388977842519743,0.3999941198184968,0.6612542414529426
LB,ALL59,beta,6,2,0,0.4717528918626977,0.3493198660133505,0.5801861539506737
LB,ALL59,beta,7,2,0,0.4732714905122176,0.30275702646861335,0.6211053759125952
LB,ALL59,beta,8,2,0,0.6165341028422364,0.5144041397130169,0.6961011699609334
LB,ALL59,beta,9,2,1,0.31558923009369905,0.09698775330725842,0.49658708257417244
LB,ALL59,beta,10,3,0,0.5661005898334468,0.43413680546031747,0.6711836136956205
LB,ALL59,beta,11,3,0,0.36561088118213697,0.23924523790691063,0.47849343193845195
LB,ALL59,beta,12,3,0,0.4776986093749071,0.3510559055378024,0.5933841034599603
LB,ALL59,beta,13,3,0,0.49443094232677515,0.37256299637826673,0.5975174347457721
LB,ALL59,beta,14,3,0,0.3742643020244241,0.19784584446081316,0.5317833691034491
LB,ALL59,beta,15,3,0,0.42581167661134256,0.3079067801630997,0.5360768464604568
LB,ALL59,beta,16,3,1,0.5860158295724516,0.42996352404457094,0.7042235092018343
LB,ALL59,beta,17,4,0,0.5409526210426463,0.4225612214876927,0.6475786663277692
LB,ALL59,beta,18,4,0,0.3885047891175034,0.2473320628378055,0.5299184852279016
LB,ALL59,beta,19,4,0,0.4674567545082631,0.30020041378288115,0.6156450476955528
LB,ALL59,beta,20,4,0,0.5413761737608769,0.36295113416814206,0.6782500395846489
LB,ALL59,beta,21,4,0,0.5367870959988341,0.43092741856355965,0.6309195828614927
LB,ALL59,beta,22,4,0,0.28210499407140355,0.12392159204151021,0.45021666260833376
LB,ALL59,beta,23,4,0,0.37989881503034073,0.25493062723983795,0.4980130315269052
LB,ALL59,beta,24,4,0,0.4382555348238377,0.32438790641172877,0.5432568587672444
LB,ALL59,beta,25,4,1,0.5037228414663311,0.37918398740457354,0.6199413739297528
LB,ALL59,beta,26,5,0,0.5057368664908242,0.3731282767954787,0.6182838435444206
LB,ALL59,beta,27,5,0,0.4228365729596751,0.2579157059316671,0.5658684338596346
LB,ALL59,beta,28,5,0,0.4869440721004236,0.3434071977993183,0.6106076617536312
LB,ALL59,beta,29,5,0,0.1920283199232759,0.07148461673109827,0.3050632894123133
LB,ALL59,beta,30,5,0,0.46767752689832526,0.2922084164706331,0.6098286310191829
LB,ALL59,beta,31,5,0,0.4027865317477732,0.2591270038517263,0.5314839128902634
LB,ALL59,beta,32,5,0,0.33649057880178207,0.14292566919166816,0.5095906915336266
LB,ALL59,beta,33,5,0,0.4994215379775087,0.3535941315208758,0.6379606215324817
LB,ALL59,beta,34,5,0,0.5579532143756465,0.41580796943946313,0.6728063504215959
LB,ALL59,beta,35,5,0,0.46225620513751775,0.36496284772916504,0.5598753853732221
LB,ALL59,beta,36,5,1,0.3265766576838367,0.17978862680966518,0.4857377775326403
LB,ALL59,beta,37,6,0,0.51544810512247,0.39837038370322136,0.6090488830445161
LB,ALL59,beta,38,6,0,0.4982134711663141,0.37334198909327415,0.6117430928627039
LB,ALL59,beta,39,6,0,0.46065290434222345,0.33500046523616117,0.5977587924483796
LB,ALL59,beta,40,6,0,0.4455923756429663,0.3128919344094589,0.5632570568879152
LB,ALL59,beta,41,6,0,0.45131511964470755,0.264952310142684,0.6113677213593858
LB,ALL59,beta,42,6,0,0.4317775037237344,0.29926827389319527,0.5523814595876475
LB,ALL59,beta,43,6,0,0.5916865642012271,0.36422720448386825,0.7523226740835123
LB,ALL59,beta,44,6,0,0.3314514768618206,0.18589330211931987,0.46839120885809166
