method,subset,band,mode,degree,is_degree_endpoint,ICC3_1,CI_low,CI_high
SPH,ALL59,alpha,58,7,0,0.4578852116147119,0.3359848581451079,0.5699172815652676
SPH,ALL59,alpha,59,7,0,0.5475475079139203,0.42848828262152233,0.6524127045877688
SPH,ALL59,alpha,60,7,0,0.4226296184234319,0.2770648450990629,0.5545035337803853
SPH,ALL59,beta,1,0,1,0.5227393345012276,0.403632566793879,0.6202176027974935
SPH,ALL59,beta,2,1,0,0.45492367095183356,0.31215750678885046,0.5960732379005373
SPH,ALL59,beta,3,1,0,0.5463999738390811,0.42018173094177463,0.6620212145662959
SPH,ALL59,beta,4,1,1,0.47309717011508345,0.32589890609268424,0.5977569638661825
SPH,ALL59,beta,5,2,0,0.44522160231797353,0.2650302095297316,0.5763091412356092
SPH,ALL59,beta,6,2,0,0.5914827754557359,0.46198855232485336,0.70975433154966
SPH,ALL59,beta,7,2,0,0.5095732638260887,0.3800697953372753,0.6391329588256717
SPH,ALL59,beta,8,2,0,0.4608732017536187,0.30508835156308745,0.6004058603115561
SPH,ALL59,beta,9,2,1,0.3801910064315778,0.23995593572080898,0.526775698442591
SPH,ALL59,beta,10,3,0,0.40119418350443736,0.2645107694748578,0.5269436468013722
SPH,ALL59,beta,11,3,0,0.4214397765999431,0.22285852545083587,0.574814524585448
SPH,ALL59,beta,12,3,0,0.44717801426694614,0.2842064273173603,0.5914007175094848
SPH,ALL59,beta,13,3,0,0.610874301942171,0.48135479101685663,0.717127592202639
SPH,ALL59,beta,14,3,0,0.4851969252603637,0.3319219073287141,0.6154532998517365
SPH,ALL59,beta,15,3,0,0.39189528750778807,0.22568075756788397,0.5325452941731852
SPH,ALL59,beta,16,3,1,0.5368864730176435,0.4373456108278783,0.6391098408818635
SPH,ALL59,beta,17,4,0,0.5597222550140063,0.35068859605839886,0.7189933822707265
SPH,ALL59,beta,18,4,0,0.26929554135386363,0.14116777194720084,0.3990979884281971
SPH,ALL59,beta,19,4,0,0.43210419144060147,0.2457781017616701,0.5698472939871372
