subset,condition,method,N,attain_70,attain_70_lo,attain_70_hi,K70_att_mean,K70_att_lo,K70_att_hi,K70n_att_mean,K70n_att_lo,K70n_att_hi,K70_cens_mean,K70_cens_lo,K70_cens_hi,K70n_cens_mean,K70n_cens_lo,K70n_cens_hi,attain_75,attain_75_lo,attain_75_hi,K75_att_mean,K75_att_lo,K75_att_hi,K75n_att_mean,K75n_att_lo,K75n_att_hi,K75_cens_mean,K75_cens_lo,K75_cens_hi,K75n_cens_mean,K75n_cens_lo,K75n_cens_hi,attain_90,attain_90_lo,attain_90_hi,K90_att_mean,K90_att_lo,K90_att_hi,K90n_att_mean,K90n_att_lo,K90n_att_hi,K90_cens_mean,K90_cens_lo,K90_cens_hi
canonical_19,EC,PCA,202,1.0,1.0,1.0,13.955445544554456,13.653465346534654,14.247524752475247,0.7517934262466494,0.7360106073978141,0.7678204171520093,18.574257425742573,18.480198019801982,18.663366336633665,1.0,1.0,1.0,1.0,1.0,1.0,14.103960396039604,13.816831683168317,14.396163366336634,0.759713026256186,0.7443825685780652,0.7753305385685628,18.574257425742573,18.480198019801982,18.663366336633665,1.0,1.0,1.0,1.0,1.0,1.0,14.811881188118813,14.564356435643564,15.074257425742575,0.7977873058203653,0.7836629326148559,0.8112068784761602,18.574257425742573,18.485148514851485,18.65841584158416
canonical_19,EC,SPH,202,0.995049504950495,0.9851485148514851,1.0,9.875621890547263,9.417910447761194,10.313432835820896,0.532207705024927,0.5078044161716357,0.5575091732599472,16.0,16.0,16.0,0.8625560698484708,0.8584496878480418,0.8674997530712821,0.995049504950495,0.9851485148514851,1.0,10.776119402985074,10.323258706467662,11.213930348258707,0.5810715728204523,0.5575982451219992,0.608025931252749,16.0,16.0,16.0,0.8625560698484708,0.85835704700501,0.8670486824224216,0.900990099009901,0.8613861386138614,0.9405940594059405,13.807692307692308,13.346153846153847,14.26923076923077,0.7448895381364421,0.7190957573987757,0.7694359478778016,16.0,16.0,16.0
canonical_19,EO,ICA,202,1.0,1.0,1.0,13.653465346534654,13.366336633663366,13.965346534653465,0.7350773099755797,0.7184394019897347,0.7515822995321978,18.574257425742573,18.480198019801982,18.663366336633665,1.0,1.0,1.0,1.0,1.0,1.0,14.143564356435643,13.861386138613861,14.415841584158416,0.7614198145820774,0.7471459936241303,0.7752144554625742,18.574257425742573,18.480198019801982,18.663366336633665,1.0,1.0,1.0,1.0,1.0,1.0,15.737623762376238,15.514851485148515,15.965346534653465,0.8471057825596802,0.8354662173841222,0.8577733905356479,18.574257425742573,18.480198019801982,18.663366336633665
canonical_19,EO,LB,202,1.0,1.0,1.0,8.722772277227723,8.272277227722773,9.178341584158416,0.4694872738047798,0.4450462161154196,0.49168530872050054,18.574257425742573,18.475247524752476,18.663366336633665,1.0,1.0,1.0,1.0,1.0,1.0,9.762376237623762,9.321658415841584,10.227722772277227,0.5255823473214194,0.5015660948351027,0.549940758394725,18.574257425742573,18.485148514851485,18.65841584158416,1.0,1.0,1.0,1.0,1.0,1.0,14.089108910891088,13.737623762376238,14.430816831683169,0.7588214220028814,0.7409095214862044,0.7766380234675944,18.574257425742573,18.480198019801982,18.65841584158416
canonical_19,EO,PCA,202,1.0,1.0,1.0,14.074257425742575,13.811757425742575,14.326732673267326,0.7577826184321219,0.7444923374400134,0.7707180165578476,18.574257425742573,18.480198019801982,18.663366336633665,1.0,1.0,1.0,1.0,1.0,1.0,14.287128712871286,14.044554455445544,14.51980198019802,0.7692809818907587,0.7561148836923166,0.7816719234810477,18.574257425742573,18.485148514851485,18.663366336633665,1.0,1.0,1.0,1.0,1.0,1.0,15.262376237623762,15.049504950495049,15.465346534653465,0.8217848390876239,0.8108967993355063,0.8322236388693048,18.574257425742573,18.480198019801982,18.663366336633665
canonical_19,EO,SPH,202,0.9801980198019802,0.9603960396039604,0.995049504950495,11.530303030303031,11.035353535353535,12.085858585858587,0.6208305535575919,0.592791566442721,0.64804458792865,16.0,16.0,16.0,0.8625560698484708,0.8582997850868677,0.8674120082286866,0.9752475247524752,0.9504950495049505,0.995049504950495,12.66497461928934,12.17246192893401,13.203045685279188,0.6821713167411411,0.6552023253864729,0.7094369620677551,16.0,16.0,16.0,0.8625560698484708,0.8582759011195237,0.8671852595476265,0.8168316831683168,0.7623762376237624,0.8712871287128713,15.27878787878788,14.93939393939394,15.575757575757576,0.8256601098706361,0.8069492656179962,0.8423219814241485,16.0,16.0,16.0
canonical_32,EC,ICA,202,1.0,1.0,1.0,18.707920792079207,18.22772277227723,19.207920792079207,0.5960787455572985,0.5794053685806667,0.6113074779838146,31.400990099009903,31.287128712871286,31.519801980198018,1.0,1.0,1.0,1.0,1.0,1.0,19.73267326732673,19.26720297029703,20.25259900990099,0.6286499657930992,0.6120903998968942,0.6442634027314517,31.400990099009903,31.287128712871286,31.514851485148515,1.0,1.0,1.0,1.0,1.0,1.0,22.93069306930693,22.485148514851485,23.356435643564357,0.7306594097952621,0.7157264509039197,0.7448505475808287,31.400990099009903,31.277227722772277,31.519801980198018
canonical_32,EC,LB,202,1.0,1.0,1.0,6.806930693069307,6.292079207920792,7.331806930693069,0.21719074582056966,0.2005418736420162,0.23434972709540533,31.400990099009903,31.28700495049505,31.514851485148515,1.0,1.0,1.0,1.0,1.0,1.0,8.178217821782178,7.579084158415841,8.777351485148515,0.2610524639981875,0.24165255435344102,0.28147099617175086,31.400990099009903,31.287128712871286,31.514851485148515,1.0,1.0,1.0,1.0,1.0,1.0,16.797029702970296,16.123391089108914,17.43069306930693,0.5354379984518394,0.5151638865283419,0.5555581031545869,31.400990099009903,31.287128712871286,31.514851485148515
canonical_32,EC,PCA,202,1.0,1.0,1.0,16.371287128712872,15.930693069306932,16.797029702970296,0.5216347633889402,0.5080749247569462,0.5349481225111825,31.400990099009903,31.282178217821784,31.514851485148515,1.0,1.0,1.0,1.0,1.0,1.0,16.782178217821784,16.33638613861386,17.222772277227723,0.5347235409819386,0.520606667095728,0.5479746799527503,31.400990099009903,31.282178217821784,31.510024752475246,1.0,1.0,1.0,1.0,1.0,1.0,19.10891089108911,18.678217821782177,19.514851485148515,0.6088936499720209,0.595784787174143,0.6223013368929357,31.400990099009903,31.277227722772277,31.514851485148515
canonical_32,EC,SPH,202,1.0,1.0,1.0,10.930693069306932,10.371163366336635,11.524876237623761,0.34844754229514807,0.3304375331711226,0.3681287310137934,25.0,25.0,25.0,0.796755697041975,0.7937677239748944,0.7998649018351104,0.9900990099009901,0.9752475247524752,1.0,11.725,11.15,12.345,0.37376845635362044,0.35539924751046137,0.392650105482613,25.0,25.0,25.0,0.796755697041975,0.7939002384305549,0.7997478707875951,0.9603960396039604,0.9306930693069307,0.9851485148514851,18.036082474226806,17.262886597938145,18.835051546391753,0.5747709094761374,0.5503689490020003,0.6015648380380098,25.0,25.0,25.0
canonical_32,EO,ICA,202,1.0,1.0,1.0,18.193069306930692,17.74740099009901,18.65358910891089,0.5797996893583367,0.5655483662664892,0.5949631846837652,31.400990099009903,31.282178217821784,31.514851485148515,1.0,1.0,1.0,1.0,1.0,1.0,19.207920792079207,18.762376237623762,19.698019801980198,0.6121731628311409,0.598031253884168,0.6268410046389093,31.400990099009903,31.287128712871286,31.514851485148515,1.0,1.0,1.0,1.0,1.0,1.0,23.292079207920793,22.88601485148515,23.712871287128714,0.741968532076869,0.7284902156988303,0.7543465510505544,31.400990099009903,31.282178217821784,31.514851485148515
canonical_32,EO,LB,202,1.0,1.0,1.0,10.089108910891088,9.420668316831684,10.742574257425742,0.3211312785199543,0.2996330783401616,0.3426972316600403,31.400990099009903,31.277227722772277,31.514851485148515,1.0,1.0,1.0,1.0,1.0,1.0,11.826732673267326,11.158415841584159,12.514975247524752,0.37648404718113637,0.3540285146771073,0.3993759490399123,31.400990099009903,31.282178217821784,31.514851485148515,1.0,1.0,1.0,1.0,1.0,1.0,19.787128712871286,19.178217821782177,20.346534653465348,0.6301426253383324,0.6114969012369813,0.6477857257907182,31.400990099009903,31.287128712871286,31.504950495049506
canonical_32,EO,PCA,202,1.0,1.0,1.0,16.722772277227723,16.376113861386138,17.08910891089109,0.5327263460395777,0.5210544917141682,0.5440761954616922,31.400990099009903,31.282178217821784,31.514851485148515,1.0,1.0,1.0,1.0,1.0,1.0,17.321782178217823,16.97029702970297,17.658539603960396,0.5517060085358607,0.5411484372009027,0.562468551022431,31.400990099009903,31.282178217821784,31.50990099009901,1.0,1.0,1.0,1.0,1.0,1.0,19.623762376237625,19.282178217821784,19.995049504950494,0.6248759573736652,0.614155370948862,0.6357280922926831,31.400990099009903,31.287128712871286,31.519801980198018
canonical_32,EO,SPH,202,1.0,1.0,1.0,13.396039603960396,12.702846534653466,14.133663366336634,0.42702389245161604,0.40477280595804493,0.4495157997383939,25.0,25.0,25.0,0.796755697041975,0.7938118500492192,0.7997512509971003,1.0,1.0,1.0,14.623762376237623,13.930569306930694,15.366336633663366,0.46612170969997047,0.4426439559936547,0.4896208893456583,25.0,25.0,25.0,0.796755697041975,0.7938036474074868,0.7998133321297329,0.9108910891089109,0.8663366336633663,0.9504950495049505,21.21195652173913,20.543478260869566,21.891440217391303,0.6771679270531784,0.6542347173187599,0.7003537225932686,25.0,25.0,25.0
