subject,condition,subset,m_used,K_last,R2_at_Klast,K70,K70_norm,K70_cens,K70_norm_cens,attained_70,K75,K75_norm,K75_cens,K75_norm_cens,attained_75,K90,K90_norm,K90_cens,K90_norm_cens,attained_90,R2_K1,R2_K4,R2_K9,R2_K16,R2_K25,R2_K36,R2_K49
010089,EC,ALL59,58,58,1.0,13,0.22413793103448276,58,1.0,1,18,0.3103448275862069,58,1.0,1,40,0.6896551724137931,58,1.0,1,0.271027972839362,0.36649587743749973,0.5910489936461117,0.7280949667993237,0.832153443554464,0.8875906353588002,0.9482334564482514
010090,EC,ALL59,58,58,1.0,5,0.08620689655172414,58,1.0,1,5,0.08620689655172414,58,1.0,1,27,0.46551724137931033,58,1.0,1,0.49143777636838715,0.6218296876080623,0.7936191460226948,0.8379030442713274,0.8844017763975336,0.9246107200929621,0.9725850740954923
010091,EC,ALL59,57,57,1.0,4,0.07017543859649122,57,1.0,1,5,0.08771929824561403,57,1.0,1,16,0.2807017543859649,57,1.0,1,0.41553505497915894,0.7412446752323789,0.7976246407890595,0.9117133829906511,0.980396746923959,0.991024885709719,0.9980163358976569
010092,EC,ALL59,59,59,1.0,24,0.4067796610169492,59,1.0,1,27,0.4576271186440678,59,1.0,1,44,0.7457627118644068,59,1.0,1,0.18926846424426735,0.3101229034191305,0.43132873709849756,0.5807636230057069,0.7271543457894245,0.8021194836621678,0.9400368570124799
010093,EC,ALL59,57,57,1.0,19,0.3333333333333333,57,1.0,1,21,0.3684210526315789,57,1.0,1,29,0.5087719298245614,57,1.0,1,0.016941647631184747,0.1623319960016557,0.30049704237518887,0.583256560421267,0.873152718950781,0.9327846771536065,0.979601648243702
010094,EC,ALL59,58,58,1.0,10,0.1724137931034483,58,1.0,1,11,0.1896551724137931,58,1.0,1,23,0.39655172413793105,58,1.0,1,0.40331450093058235,0.6369807847419174,0.6927599601214366,0.8475445853972929,0.9423914773210613,0.9684551009070419,0.9891842917744551
010104,EC,ALL59,56,56,1.0,17,0.30357142857142855,56,1.0,1,21,0.375,56,1.0,1,33,0.5892857142857143,56,1.0,1,0.13275769454056835,0.245231882287625,0.4735260537190334,0.6231852618390924,0.8098662212174935,0.9623739247156635,0.9928924450796714
010126,EC,ALL59,58,58,1.0,13,0.22413793103448276,58,1.0,1,14,0.2413793103448276,58,1.0,1,18,0.3103448275862069,58,1.0,1,0.23591511694402464,0.5186749133512841,0.6023495470666606,0.8960844951011316,0.9330198350538921,0.9595546092833436,0.990114244851456
010134,EC,ALL59,59,59,1.0,11,0.1864406779661017,59,1.0,1,14,0.23728813559322035,59,1.0,1,26,0.4406779661016949,59,1.0,1,0.29166379073183424,0.5254112437504306,0.6679363290810557,0.7970017014333066,0.8915989162275822,0.9354483777984944,0.9739545600537437
010136,EC,ALL59,58,58,1.0,7,0.1206896551724138,58,1.0,1,10,0.1724137931034483,58,1.0,1,23,0.39655172413793105,58,1.0,1,0.18823602167000883,0.5890202706482655,0.7489909000523463,0.8454478839547915,0.9170710590513296,0.9717002338003101,0.9961364557118005
010137,EC,ALL59,59,59,1.0,5,0.0847457627118644,59,1.0,1,5,0.0847457627118644,59,1.0,1,18,0.3050847457627119,59,1.0,1,0.4298337306095659,0.6959219627544405,0.8084348747939492,0.8814951355507709,0.9548442580830675,0.9660976684908329,0.9871700341122484
